,collection,number of cores,percentage,time
0,kaggleNation25,3.0,25.0,7.38161301612854
0,kaggleNation25,3.0,25.0,10.154431104660034
0,kaggleNation25,3.0,25.0,11.102402925491333
0,kaggleNation25,3.0,25.0,13.334933996200562
0,kaggleNation25,3.0,25.0,15.685971975326538
0,kaggleNation25,3.0,25.0,17.218061923980713
0,kaggleNation25,3.0,25.0,21.402607202529907
0,kaggleNation25,3.0,25.0,24.765496015548706
0,kaggleNation25,3.0,25.0,9.568546056747437
0,kaggleNation25,3.0,25.0,13.657199144363403
0,kaggleNation25,3.0,25.0,10.895863056182861
0,kaggleNation25,3.0,25.0,11.829107999801636
0,kaggleNation25,3.0,25.0,15.250746250152588
0,kaggleNation50,3.0,50.0,13.72871208190918
0,kaggleNation50,3.0,50.0,14.415511131286621
0,kaggleNation50,3.0,50.0,11.247647047042847
0,kaggleNation50,3.0,50.0,12.678080081939697
0,kaggleNation50,3.0,50.0,13.882097244262695
0,kaggleNation50,3.0,50.0,15.090889930725098
0,kaggleNation50,3.0,50.0,17.371084213256836
0,kaggleNation50,3.0,50.0,28.746609926223755
0,kaggleNation50,3.0,50.0,31.782567977905273
0,kaggleNation50,3.0,50.0,32.01925587654114
0,kaggleNation75,3.0,75.0,35.53495907783508
0,kaggleNation75,3.0,75.0,24.960208892822266
0,kaggleNation75,3.0,75.0,25.163350105285645
0,kaggleNation75,3.0,75.0,26.145551919937134
0,kaggleNation75,3.0,75.0,24.11908507347107
0,kaggleNation75,3.0,75.0,27.128255128860474
0,kaggleNation75,3.0,75.0,18.583446979522705
0,kaggleNation75,3.0,75.0,23.390603065490723
0,kaggleNation100,3.0,100.0,23.119438886642456
0,kaggleNation100,3.0,100.0,33.15195417404175
0,kaggleNation100,3.0,100.0,24.807377099990845
0,kaggleNation100,3.0,100.0,28.217259883880615
0,kaggleNation100,3.0,100.0,34.11498188972473
0,kaggleNation100,3.0,100.0,23.337416887283325
0,kaggleNation100,3.0,100.0,23.95087218284607
0,API25,1.0,25.0,0.42337679862976074
0,API25,1.0,25.0,0.9343719482421875
0,API25,1.0,25.0,2.017277956008911
0,API25,1.0,25.0,1.6539592742919922
0,API25,1.0,25.0,1.7821648120880127
0,API25,1.0,25.0,2.172914981842041
0,API25,1.0,25.0,1.7226970195770264
0,API25,1.0,25.0,1.9138998985290527
0,API25,1.0,25.0,1.8930737972259521
0,API25,1.0,25.0,1.5714731216430664
0,API25,1.0,25.0,1.8525011539459229
0,API50,1.0,50.0,2.7606961727142334
0,API50,1.0,50.0,2.908111095428467
0,API50,1.0,50.0,1.4450359344482422
0,API50,1.0,50.0,1.5844171047210693
0,API50,1.0,50.0,1.5013067722320557
0,API50,1.0,50.0,2.8373289108276367
0,API50,1.0,50.0,2.035550832748413
0,API50,1.0,50.0,1.893787145614624
0,API50,1.0,50.0,1.7607591152191162
0,API50,1.0,50.0,1.6746947765350342
0,API50,1.0,50.0,1.7410228252410889
0,API75,1.0,75.0,2.1996798515319824
0,API75,1.0,75.0,2.1202352046966553
0,API75,1.0,75.0,2.2658588886260986
0,API75,1.0,75.0,3.110640287399292
0,API75,1.0,75.0,2.5082688331604004
0,API75,1.0,75.0,2.145646810531616
0,API75,1.0,75.0,1.729764699935913
0,API75,1.0,75.0,1.4975528717041016
0,API75,1.0,75.0,2.7509398460388184
0,API100,1.0,100.0,1.8005867004394531
0,API100,1.0,100.0,1.6344871520996094
0,API100,1.0,100.0,1.7221639156341553
0,API100,1.0,100.0,1.7587130069732666
0,API100,1.0,100.0,1.689349889755249
0,API100,1.0,100.0,1.8799002170562744
0,API100,1.0,100.0,1.4785270690917969
0,API100,1.0,100.0,1.5466811656951904
0,API100,1.0,100.0,1.649916172027588
0,API100,1.0,100.0,1.8408892154693604
0,API100,1.0,100.0,2.556431770324707
0,scrape100,1.0,100.0,77.6153552532196
0,scrape100,1.0,100.0,35.94846487045288
0,scrape100,1.0,100.0,26.055851936340332
0,scrape100,1.0,100.0,23.172893047332764
0,scrape100,1.0,100.0,23.07735776901245
